protein_id	categories	category_count
Q27974	protein_binding	1
Q14444	protein_binding	1
P60723	dna_binding	1
P0A6X3	dna_binding	1
Q9UKT4	protein_binding	1
P17706-2	protein_binding	1
P04578	protein_binding	1
P35637	protein_binding,rna_binding	2
P61244	protein_binding	1
A0A068MVV3	protein_binding	1
A5HC98	rna_binding	1
Q8NBP7	protein_binding	1
P14635	protein_binding	1
P60881	protein_binding	1
Q9DCL8	protein_binding	1
O43663	protein_binding	1
P62965	protein_binding	1
Q14449	protein_binding	1
Q9LZP9	protein_binding	1
P81558	protein_binding	1
O08785	protein_binding	1
P55036	protein_binding	1
P52630	protein_binding	1
Q01101	protein_binding	1
Q1PAB4	protein_binding,dna_binding,rna_binding	3
P25814	dna_binding	1
P31327	ion_binding	1
Q96AC1	protein_binding	1
P78330	protein_binding	1
P14907	protein_binding	1
Q9JK11	protein_binding	1
P38516	dna_binding	1
Q01097	protein_binding	1
Q32ZE1	protein_binding	1
P00880	protein_binding	1
P03259	protein_binding	1
P02721	protein_binding	1
O95997	protein_binding	1
P04004	protein_binding	1
A0A7G5VWW1	protein_binding	1
P05059	ion_binding	1
P49790	protein_binding	1
O35274	protein_binding	1
P04610	rna_binding	1
Q15843	protein_binding	1
P49918	protein_binding	1
Q8NG31	protein_binding	1
Q01081	protein_binding	1
P20963	protein_binding	1
A0A078IB52	rna_binding	1
O60566	protein_binding	1
Q08209	protein_binding	1
P51123	protein_binding	1
P41969	protein_binding	1
P12359	protein_binding	1
P02400	protein_binding	1
P15865	dna_binding	1
P28229	protein_binding	1
Q96Q11	rna_binding	1
P46669	protein_binding	1
O96017	protein_binding	1
Q13547	protein_binding	1
P04486	protein_binding	1
P21513	protein_binding,dna_binding,rna_binding	3
O25555	protein_binding	1
O74958	dna_binding	1
Q9FG31	ion_binding	1
P05221	protein_binding	1
P30307	protein_binding	1
P21246	protein_binding	1
Q13316	ion_binding	1
P36106	protein_binding	1
P55957	protein_binding	1
Q07528	protein_binding	1
Q7G7J6	protein_binding	1
Q87GF9	protein_binding	1
Q9CXW3	protein_binding	1
Q91V27	protein_binding	1
P25024	protein_binding	1
P32628	protein_binding	1
P26554	protein_binding	1
Q9UQC2	protein_binding	1
Q9XTY3	protein_binding	1
P01555	protein_binding	1
Q99ML1	protein_binding	1
O15431	ion_binding	1
Q9HC77	protein_binding	1
P21109	protein_binding	1
Q99714	protein_binding	1
Q14722	protein_binding	1
P35926	dna_binding	1
O95405	protein_binding	1
Q96GC6	protein_binding	1
Q9Y6D6	protein_binding	1
Q9HAU5	protein_binding	1
Q7X2A1	protein_binding	1
P27682	protein_binding	1
P46108	protein_binding	1
Q04660	dna_binding	1
P12823	protein_binding	1
P27392	protein_binding	1
P12931	protein_binding	1
P17120	protein_binding	1
O76070	protein_binding	1
P83755	ion_binding	1
Q03390	protein_binding	1
Q9XTN4	dna_binding	1
P26477	protein_binding	1
Q12888	protein_binding	1
P05387	protein_binding	1
Q16625	protein_binding	1
Q997F2	protein_binding	1
P80723	protein_binding	1
O35718	protein_binding	1
P73124	protein_binding	1
P37173	protein_binding	1
P69718	protein_binding,rna_binding	2
Q15691	protein_binding	1
Q9Y613	protein_binding	1
Q53GG5	protein_binding	1
O14733	protein_binding	1
P40316	protein_binding	1
P25638	protein_binding	1
P70475	dna_binding,ion_binding	2
Q8NC51	rna_binding	1
P81455	ion_binding	1
Q09312	protein_binding,rna_binding	2
P53632	protein_binding	1
P03254	protein_binding,ion_binding	2
P40517	protein_binding	1
P08083	protein_binding	1
P01137	protein_binding	1
P09651	protein_binding,dna_binding	2
P63144	protein_binding	1
P10922	dna_binding	1
G0SCY6	protein_binding	1
P04325	protein_binding,rna_binding	2
Q9H3P2	protein_binding	1
Q92597	ion_binding	1
O43806	protein_binding	1
P20849	protein_binding	1
P63315	ion_binding	1
Q98325	protein_binding	1
D0PV95	rna_binding	1
P61926	protein_binding	1
P08240	protein_binding	1
P31109	protein_binding	1
Q13542	protein_binding	1
P0A903	protein_binding	1
Q5R6Q2	protein_binding	1
Q9SQQ6	protein_binding,ion_binding	2
Q5ZUV9	protein_binding	1
G0SCF1	protein_binding	1
O65934	protein_binding	1
Q96GD4	protein_binding	1
A1Z9S6	protein_binding	1
P06836	protein_binding	1
Q01080	dna_binding	1
P38634	protein_binding	1
Q1ECR9	protein_binding	1
Q8GY31	ion_binding	1
Q8WXE9	protein_binding	1
O15169	protein_binding	1
A0A0G2JXC5	protein_binding	1
P17947	protein_binding	1
A2VD23	ion_binding	1
A0A0H2UWN8	protein_binding	1
P17931	protein_binding	1
P36118	protein_binding	1
P27986	protein_binding	1
P49841	protein_binding	1
G8HXD9	protein_binding	1
O60828	protein_binding	1
P08050	protein_binding	1
C4LQ26	rna_binding	1
O54928	protein_binding	1
P42512	protein_binding	1
P01094	protein_binding	1
P84092	protein_binding	1
P12810	protein_binding	1
P0CY08	protein_binding	1
P11387	dna_binding	1
P07293	protein_binding	1
Q98XH7	protein_binding	1
Q9C552	rna_binding	1
P09132	rna_binding	1
P30291	protein_binding	1
P03129	protein_binding	1
Q8GYN5	protein_binding	1
P53999	protein_binding,dna_binding	2
Q38825	protein_binding	1
A0A220GHA5	rna_binding	1
P26599	dna_binding	1
Q8N3V7	protein_binding	1
Q13469	protein_binding	1
F4IED2	protein_binding	1
